YEAR,ROUND,CONF_1,TEAM_1,SEED_1,SEED_2,CONF_2,TEAM_2,SCORE_diff,K TEMPO_diff,KADJ T_diff,K OFF_diff,KADJ O_diff,K DEF_diff,KADJ D_diff,KADJ EM_diff,BADJ EM_diff,BADJ O_diff,BADJ D_diff,BARTHAG_diff,GAMES_diff,W_diff,L_diff,WIN%_diff,EFG%_diff,EFG%D_diff,FTR_diff,FTRD_diff,TOV%_diff,TOV%D_diff,OREB%_diff,DREB%_diff,OP OREB%_diff,OP DREB%_diff,RAW T_diff,2PT%_diff,2PT%D_diff,3PT%_diff,3PT%D_diff,BLK%_diff,BLKED%_diff,AST%_diff,OP AST%_diff,2PTR_diff,3PTR_diff,2PTRD_diff,3PTRD_diff,BADJ T_diff,AVG HGT_diff,EFF HGT_diff,EXP_diff,TALENT_diff,FT%_diff,OP FT%_diff,PPPO_diff,PPPD_diff,ELITE SOS_diff,WAB_diff,POWER RATING_diff,POWER_diff,PATH_diff,DRAW_diff,WINS_diff,POOL VALUE_diff,POWER-PATH_diff,NET RPI_diff,RESUME_diff,ELO_diff,B POWER_diff,Q1 W_diff,Q2 W_diff,Q1 PLUS Q2 W_diff,Q3 Q4 L_diff,PLUS 500_diff,R SCORE_diff,DUNKS FG%_diff,DUNKS SHARE_diff,DUNKS FG%D_diff,DUNKS D SHARE_diff,CLOSE TWOS FG%_diff,CLOSE TWOS SHARE_diff,CLOSE TWOS FG%D_diff,CLOSE TWOS D SHARE_diff,FARTHER TWOS FG%_diff,FARTHER TWOS SHARE_diff,FARTHER TWOS FG%D_diff,FARTHER TWOS D SHARE_diff,THREES FG%_diff,THREES SHARE_diff,THREES FG%D_diff,THREES D SHARE_diff,target
2024,64,BE,Connecticut,1.0,64.0,ASun,Stetson,,-0.397,-1.71,11.298,16.346,-15.111,-19.971,36.317,39.218,18.808,-20.41,0.615,3.0,12.0,-9.0,29.886,3.7,-6.9,1.6,6.6,-0.9,2.7,9.0,4.4,-4.4,-9.0,-0.5,6.0,-8.5,0.2,-2.6,6.4,0.2,15.0,-3.5,0.9,-0.9,4.2,-4.2,-1.364,0.696,0.193,-0.349,38.477,-2.1,-1.1,0.118,-0.148,20.981,18.1,,44.2,-26.5,,0.0,92.1,70.7,-207.0,-210.0,-156.0,-196.5,12.0,8.0,20.0,-8.0,20.0,99.98,1.1,6.4,-1.1,0.9,11.1,7.8,-6.6,-0.4,-7.9,-6.9,-10.2,4.6,0.2,-0.9,-2.6,-4.2,
2024,64,ACC,North Carolina,4.0,61.0,NEC,Wagner,,8.892,9.195,16.008,22.013,-1.559,-12.727,34.74,33.604,21.782,-11.822,0.691,5.0,13.0,-8.0,31.136,6.7,-2.0,10.0,-1.6,-1.5,-2.1,3.3,3.5,-3.5,-3.3,8.8,7.5,-4.9,3.8,1.5,3.1,-0.1,-3.4,-18.6,2.3,-2.3,5.1,-5.1,9.087,0.94,2.195,0.578,88.207,4.7,6.7,0.163,-0.014,22.625,18.3,,33.2,-12.2,,0.0,25.9,45.4,-282.0,-299.0,-247.0,-273.0,9.0,7.0,16.0,-13.0,19.0,99.91,-1.2,4.3,-2.3,-1.0,4.4,7.2,-2.7,-3.7,7.7,-4.9,-4.6,8.8,3.8,-2.3,1.5,-5.0,
2024,64,B12,Houston,3.0,62.0,BSth,Longwood,,-3.734,-3.494,5.739,13.156,-13.089,-17.604,30.759,34.564,15.255,-19.309,0.503,3.0,12.0,-9.0,30.171,0.3,-7.3,-9.6,2.9,-4.3,5.1,0.2,-4.7,4.7,-0.2,-3.8,-0.2,-7.5,0.5,-4.6,8.9,0.2,1.1,10.9,-8.3,8.3,-1.4,1.4,-3.482,-1.178,-0.898,-0.043,46.022,0.6,-3.1,0.062,-0.128,24.77,19.2,,34.8,-21.0,,0.0,70.0,55.8,-162.0,-228.0,-144.0,-147.0,16.0,2.0,18.0,-10.0,20.0,99.97,3.0,1.8,-4.0,0.8,10.3,-13.0,-8.2,1.2,-3.6,5.0,-8.6,-2.7,0.3,8.1,-4.5,1.6,
2024,64,B10,Purdue,2.0,63.0,SWAC,Grambling St.,,2.695,2.555,21.901,25.714,-2.171,-11.214,36.928,39.83,28.54,-11.29,0.683,2.0,12.0,-10.0,33.04,7.8,-1.4,3.2,-10.9,-4.0,-5.0,9.3,8.0,-8.0,-9.3,2.5,6.2,-0.3,6.7,-2.3,1.3,-1.9,23.9,0.0,-5.2,5.2,-3.8,3.8,2.699,1.328,3.034,-0.476,40.092,1.5,-1.4,0.225,-0.021,20.778,19.0,,42.4,-21.4,,0.0,78.4,63.8,-276.0,-233.0,-176.0,-276.0,12.0,8.0,20.0,-8.0,19.0,99.96,0.4,7.2,-5.2,0.0,10.8,-2.8,6.3,-6.6,1.4,-2.3,-3.0,2.8,6.7,5.2,-2.3,3.8,
2024,64,B12,Iowa St.,8.0,57.0,Sum,South Dakota St.,,0.036,-0.522,0.305,5.202,-14.162,-18.528,23.73,24.003,6.092,-17.911,0.375,3.0,8.0,-5.0,18.121,-3.4,-3.7,5.7,7.8,-0.7,9.2,7.2,-4.1,4.1,-7.2,0.0,-4.2,-2.1,-1.3,-3.7,1.1,0.0,11.6,11.4,8.2,-8.2,2.1,-2.1,-0.327,0.506,-0.235,0.005,36.587,-1.9,-3.1,0.009,-0.144,23.039,14.3,,26.3,-12.2,,0.0,34.6,38.5,-129.0,-224.0,-108.0,-137.5,10.0,6.0,16.0,-9.0,12.0,99.86,4.5,-3.8,2.5,0.2,5.0,-5.1,2.0,-3.9,-7.4,13.3,-1.4,6.0,-1.3,-8.2,-3.7,-2.1,
2024,64,P12,Arizona,5.0,60.0,BW,Long Beach St.,,1.555,0.674,11.441,13.268,-8.288,-13.361,26.628,30.468,16.131,-14.337,0.522,0.0,6.0,-6.0,18.182,6.1,-2.5,-1.4,-6.9,-1.0,-0.4,3.0,6.5,-6.5,-3.0,1.5,4.9,-2.2,5.8,-1.7,-3.6,2.7,4.0,-6.4,-4.3,4.3,5.4,-5.4,0.638,0.932,1.117,-0.257,65.168,0.9,-1.3,0.12,-0.082,17.328,12.9,,34.9,-20.1,,0.0,90.8,55.0,-166.0,-191.0,-128.0,-162.0,8.0,4.0,12.0,-10.0,12.0,99.87,-5.2,8.0,15.7,1.2,1.4,9.9,-1.1,-2.9,-0.6,-14.2,0.8,8.3,5.8,4.3,-1.7,-5.4,
2024,64,BE,Marquette,6.0,59.0,CUSA,Western Kentucky,,-6.092,-6.167,7.506,12.742,2.082,-6.931,19.674,20.924,13.724,-7.2,0.34,4.0,6.0,-2.0,10.196,3.2,1.4,-7.3,-5.2,-4.0,2.5,-2.5,-4.1,4.1,2.5,-6.1,3.9,0.9,1.4,1.4,1.3,-1.3,9.8,11.1,-9.5,9.5,-3.0,3.0,-5.994,0.76,1.644,-0.54,24.818,-0.4,6.8,0.077,0.017,27.194,13.1,,28.5,-13.9,,0.0,47.9,42.4,-122.0,-197.0,-121.0,-132.0,9.0,5.0,14.0,-11.0,7.0,99.78,2.2,4.3,5.1,0.7,4.7,-3.7,-1.0,-0.7,0.0,-5.9,2.9,-2.3,1.4,9.5,1.4,3.0,
2024,64,SEC,Tennessee,8.0,57.0,MAAC,Saint Peter's,,5.354,5.248,13.106,18.433,-0.514,-9.86,28.293,27.708,18.803,-8.905,0.534,1.0,6.0,-5.0,16.935,6.5,-1.2,-3.8,-6.5,-5.0,-1.4,-2.7,0.8,-0.8,2.7,5.2,9.2,-2.1,0.3,-0.1,0.8,-2.6,12.2,-0.2,-10.2,10.2,-6.9,6.9,5.23,-0.628,0.671,0.465,54.636,3.0,0.2,0.133,-0.002,24.673,14.6,,35.5,-18.4,,0.0,73.4,53.9,-180.0,-204.0,-142.0,-185.0,8.0,5.0,13.0,-10.0,12.0,99.89,-0.4,6.2,-4.3,0.0,9.1,0.7,-0.2,-2.2,5.9,-10.9,-6.0,-4.6,0.3,10.2,-0.1,6.9,
2024,64,B10,Illinois,9.0,56.0,OVC,Morehead St.,,4.822,5.653,8.275,16.562,4.489,-1.956,18.518,20.945,18.654,-2.291,0.333,4.0,4.0,0.0,3.137,-0.6,2.3,6.5,-5.6,-3.4,-3.2,4.2,0.3,-0.3,-4.2,4.8,-0.9,1.2,-0.4,3.2,-3.0,0.4,-8.0,1.5,6.8,-6.8,3.3,-3.3,5.575,0.691,0.201,0.072,40.756,3.0,-4.1,0.086,0.04,20.861,9.4,,24.0,-13.7,,0.0,47.2,37.7,-93.0,-140.0,-78.0,-95.0,8.0,6.0,14.0,-3.0,2.0,99.82,0.3,-0.2,0.3,1.2,2.5,3.1,4.7,-3.7,-5.3,3.8,0.9,6.9,-0.4,-6.8,3.2,-3.3,
2024,64,B12,Baylor,12.0,53.0,Pat,Colgate,,0.728,-0.619,10.906,17.84,7.31,-2.315,20.155,21.864,19.92,-1.944,0.397,-1.0,-2.0,1.0,-3.977,2.2,4.1,12.9,6.4,1.4,1.0,10.1,-2.6,2.6,-10.1,0.7,0.1,3.2,3.7,3.6,-1.3,2.5,-2.7,0.0,0.0,0.0,4.1,-4.1,-0.459,0.331,0.474,-0.285,58.236,6.0,6.0,0.109,0.074,26.712,9.2,,27.5,-13.8,,0.0,49.7,41.3,-112.0,-149.0,-70.0,-114.5,10.0,3.0,13.0,-4.0,-1.0,99.73,-10.8,9.8,-5.4,4.1,3.0,-0.7,7.3,-4.5,-3.2,0.7,4.0,8.6,3.7,0.0,3.6,-4.2,
